Date,GDPC1,GDPC1_lag1,GDPC1_lag2,GS10,TB3MS,GS1,AAA10YM,DTB6,BAA10YM,FEDFUNDS,WPU102301,WPU101,BOGMBASE,M1NS,M2NS,UNRATE,PERMIT,LNS12032195,PAYEMS,INDPRO,MAN_PMI,MAN_DELIV,MAN_NEWORDERS,MABMM301USM189S,CPIAUCNS,CS_m,10Y-3M,10Y-1Y,AAA,BAA,CR,DR,deflator,R_WTISPLC,R_BOGMBASE,R_M1NS,R_M2NS,R_Unfilled Orders,R_W875RX1,R_MABMM301USM189S,R_S&P500,R_S&P500_change,USREC_lag6,mad_10Y-3M,mad_10Y-1Y,mad_S&P500
1962Q1,1.7523443924008053,1.9233895393083613,1.8834833025507745,4.016666666666667,2.723333333333333,3.2066666666666666,0.3933333333333333,2.9033333333333338,1.0466666666666669,2.4566666666666666,51.93333333333334,28.566666666666666,50.574999999999996,147.9,339.9666666666667,5.766666666666667,1159.0,1131.6666666666667,54983.666666666664,25.6066,62.06666666666666,56.366666666666674,64.86666666666667,335.6666666666667,13.087676666666667,97.60000000000001,1.2933333333333332,0.8100000000000002,4.41,5.0633333333333335,1.0,0.0,0.13102203333333332,22.667998918647466,386.4393930869739,1130.0929710215912,2597.6125671121213,3.355477958002988,19472.736104152402,2567.6035742469617,530.0596504692113,-1.0844241490249698,0.0,0.05452096724823997,0.03625514403292184,3.908152978231294
1962Q2,0.8955786801929818,1.7523443924008053,1.9233895393083613,3.8733333333333335,2.716666666666667,3.016666666666666,0.42333333333333334,2.8499999999999996,1.14,2.606666666666667,51.73333333333333,28.333333333333332,50.31066666666667,145.26666666666665,344.3666666666666,5.566666666666666,1170.3333333333333,1172.6666666666667,55501.666666666664,25.975833333333338,55.96666666666667,49.866666666666674,57.0,343.0,13.145776666666665,96.90000000000002,1.1566666666666667,0.8566666666666668,4.296666666666667,5.013333333333333,1.0,0.0,0.131603,22.56787459252449,382.7120590544212,1105.041474640533,2619.5865790540734,-1.6059716105887105,19625.098789009,2612.069961234592,454.95416517860536,-8.427251593137743,0.0,0.026454596365635324,0.037390110442707854,3.629588852698678
1962Q3,1.2135986148523012,0.8955786801929818,1.7523443924008053,3.99,2.84,3.1833333333333336,0.3466666666666667,2.9633333333333334,1.0566666666666666,2.846666666666667,49.699999999999996,28.2,51.13233333333333,144.73333333333335,349.5666666666666,5.533333333333334,1181.0,1240.3333333333333,55742.666666666664,26.095866666666666,50.43333333333334,44.03333333333334,52.86666666666667,349.3333333333333,13.189353333333331,92.86666666666667,1.1500000000000001,0.8066666666666665,4.336666666666667,5.046666666666667,0.0,0.0,0.13218406666666666,22.468722902977746,387.6779162693468,1097.3529536548351,2650.3608528708414,-1.8402248580837106,19760.38202295585,2651.513792005873,437.8381917525598,0.5862398244209844,0.0,0.02585622467319045,0.033511322909168396,3.2994613019159353
1962Q4,0.32778274502784943,1.2135986148523012,0.8955786801929818,3.903333333333333,2.813333333333334,2.9966666666666666,0.35333333333333333,2.896666666666667,1.0533333333333335,2.9233333333333333,49.4,28.099999999999998,51.406,147.1,357.3,5.566666666666666,1213.3333333333333,1195.6666666666667,56025.0,26.418899999999997,51.666666666666664,46.833333333333336,54.79999999999999,355.0,13.247459999999998,93.86666666666667,1.0899999999999999,0.9066666666666667,4.256666666666667,4.956666666666666,0.0,0.0,0.1324746,22.419392094786474,388.04419866147924,1110.4015411256196,2697.120806554615,1.0529381078959357,19804.131598393953,2682.6905997626122,457.64746852100956,3.66431373969788,0.0,0.03318095205390594,0.02101039735048799,2.527841858092365
1963Q1,1.0798181237022475,0.32778274502784943,1.2135986148523012,3.893333333333333,2.9066666666666667,3.026666666666667,0.30333333333333334,2.966666666666667,1.0,2.966666666666667,49.800000000000004,28.100000000000005,51.635,150.9,367.6333333333334,5.7,1232.0,1159.3333333333333,56124.333333333336,26.732766666666667,55.833333333333336,50.5,60.333333333333336,362.6666666666667,13.247459999999998,97.26666666666667,0.9866666666666667,0.8666666666666668,4.196666666666666,4.8933333333333335,0.0,0.0,0.13261983333333333,22.394894045762186,389.7728319240066,1139.086285219959,2775.1231808462403,6.49684291680569,19982.446949578763,2737.6317170738134,495.2943721648931,1.6064024382628688,0.0,0.01983371126228274,0.019604548890263158,2.0920413908469
1963Q2,1.109672021117795,1.0798181237022475,0.32778274502784943,3.9633333333333334,2.94,3.143333333333333,0.25666666666666665,3.0433333333333334,0.89,2.9633333333333334,51.166666666666664,28.133333333333336,51.465666666666664,148.5666666666667,372.3333333333333,5.766666666666667,1298.6666666666667,1149.3333333333333,56505.333333333336,27.443566666666666,57.366666666666674,56.5,61.666666666666664,370.6666666666667,13.29103,93.93333333333334,1.0233333333333334,0.8200000000000002,4.22,4.8533333333333335,0.0,0.0,0.13305556666666665,22.321554422792087,387.2210556041682,1117.7964888098716,2801.3881041073073,7.229505042825167,20072.51123746192,2791.8837670011617,526.0271898994387,1.2146271206831407,0.0,0.016869143819143877,0.0203086111579618,1.274496604875316
1963Q3,2.1511347703586425,1.109672021117795,1.0798181237022475,4.033333333333333,3.293333333333333,3.526666666666667,0.25333333333333335,3.466666666666667,0.8033333333333333,3.33,51.70000000000001,28.2,52.520999999999994,149.36666666666667,379.4666666666667,5.533333333333334,1325.3333333333333,1180.6666666666667,56787.666666666664,27.775899999999996,56.26666666666667,49.46666666666667,61.333333333333336,378.3333333333333,13.363663333333335,94.83333333333333,0.7399999999999999,0.5066666666666667,4.286666666666667,4.836666666666667,0.0,0.0,0.1337819,22.200312598341032,393.0117677208836,1117.7047104714732,2839.524943383419,0.6011786118557438,20210.832808042844,2837.2076986849593,531.5367624469378,0.9524605366439068,0.0,0.04415702479338845,0.039869008264462796,1.513961164167663
1963Q4,0.651325810047868,2.1511347703586425,1.109672021117795,4.12,3.4966666666666666,3.7300000000000004,0.21333333333333335,3.626666666666667,0.7200000000000001,3.453333333333333,51.6,28.333333333333332,53.26733333333333,153.0,388.6666666666667,5.566666666666666,1394.6666666666667,1237.6666666666667,57205.333333333336,28.22816666666667,57.36666666666667,48.6,62.5,386.0,13.407243333333334,95.06666666666668,0.6233333333333334,0.38999999999999996,4.333333333333333,4.84,0.0,0.0,0.13436293333333335,22.104362109784987,397.30069502680186,1141.1606881048813,2898.906844281006,1.2401599403630523,20369.196325048328,2882.154158083205,551.3859416082814,1.2698767437655194,0.0,0.017192591456440035,0.01909914341955325,1.996060739379729
1964Q1,2.064747936186802,0.651325810047868,2.1511347703586425,4.18,3.53,3.8266666666666667,0.19666666666666666,3.686666666666667,0.65,3.4633333333333334,52.06666666666666,28.5,54.20766666666666,156.4333333333333,397.8333333333333,5.5,1387.0,1112.3333333333333,57533.666666666664,28.5605,56.333333333333336,51.6,60.56666666666666,393.3333333333333,13.46534,97.8,0.65,0.35333333333333333,4.376666666666666,4.83,0.0,0.0,0.1346534,22.05662835101082,402.57183752260744,1161.7481128091333,2954.498982820585,1.9402172605546941,20547.890665629526,2924.229955595059,578.8194158731479,1.6976450172752102,0.0,0.01996992185303876,0.025299896512017653,1.8729708692011033
1964Q2,1.0769795052829232,2.064747936186802,0.651325810047868,4.2,3.4766666666666666,3.86,0.20666666666666667,3.5666666666666664,0.65,3.49,58.333333333333336,28.53333333333333,54.05166666666667,153.66666666666666,400.8666666666666,5.266666666666667,1292.0,1112.0,57969.333333333336,29.14206666666667,59.366666666666674,59.800000000000004,61.73333333333334,400.0,13.46534,98.83333333333333,0.7233333333333335,0.34000000000000014,4.406666666666667,4.8500000000000005,0.0,0.0,0.13479866666666668,22.032910001368823,401.4133075486149,1141.2015342105485,2977.025954537105,5.14159563244101,20870.62042250697,2970.5896769038136,597.2283177860351,1.0112627445479558,0.0,0.014407713498622585,0.015843526170798965,1.2165619771328897
